station_id,status,capacity
31623.0,keep,163
31229.0,keep,135
31699.0,keep,122
31201.0,keep,1
31101.0,keep,116
31600.0,keep,113
31603.0,keep,106
31200.0,keep,102
31247.0,keep,100
31258.0,keep,99
31249.0,keep,97
31627.0,keep,95
31248.0,keep,95
31288.0,keep,93
31104.0,keep,92
31202.0,keep,90
31125.0,keep,87
31281.0,keep,84
31236.0,keep,83
31214.0,keep,82
31203.0,keep,82
31532.0,keep,82
31289.0,keep,81
31290.0,keep,78
31330.0,keep,77
31615.0,keep,77
31266.0,keep,76
31114.0,keep,76
31662.0,keep,74
31324.0,keep,73
31246.0,keep,72
31108.0,keep,71
31228.0,keep,70
31107.0,keep,69
31119.0,keep,68
31124.0,keep,68
31102.0,keep,66
31116.0,keep,65
31225.0,keep,65
31609.0,keep,65
31628.0,keep,65
31646.0,keep,65
31295.0,keep,65
31278.0,keep,64
31212.0,keep,63
31213.0,keep,63
31128.0,keep,63
31653.0,keep,63
31296.0,keep,62
31241.0,keep,61
31312.0,keep,61
31641.0,keep,61
31257.0,keep,61
31243.0,keep,60
31311.0,keep,60
31327.0,keep,60
31134.0,keep,59
31117.0,keep,59
31280.0,keep,58
31321.0,keep,58
31506.0,keep,58
31205.0,keep,57
31655.0,keep,57
31237.0,keep,57
31132.0,keep,57
31611.0,keep,57
30201.0,keep,56
31265.0,keep,56
31336.0,keep,56
31299.0,keep,56
31245.0,keep,55
31285.0,keep,55
31234.0,keep,55
31271.0,keep,54
31230.0,keep,54
31533.0,keep,54
31616.0,keep,54
31223.0,keep,54
31232.0,keep,54
31828.0,keep,53
31619.0,keep,53
31277.0,keep,53
31282.0,keep,52
31240.0,keep,52
31275.0,keep,52
31286.0,keep,52
31233.0,keep,51
31113.0,keep,51
31610.0,keep,51
31639.0,keep,51
31273.0,keep,51
31505.0,keep,50
31602.0,keep,49
31251.0,keep,10
31126.0,keep,48
31531.0,keep,48
31272.0,keep,48
31215.0,keep,47
31666.0,keep,47
31129.0,keep,47
31135.0,keep,1
31269.0,keep,47
31121.0,keep,47
31221.0,keep,47
31120.0,keep,46
31536.0,keep,46
31503.0,keep,46
31651.0,keep,46
31604.0,keep,46
31618.0,keep,46
31222.0,keep,46
31624.0,keep,46
31210.0,keep,45
31267.0,keep,45
31219.0,keep,44
31291.0,keep,44
30200.0,keep,44
31643.0,keep,44
31419.0,keep,44
31612.0,keep,44
31328.0,keep,44
31401.0,keep,44
31218.0,keep,44
31631.0,keep,44
31323.0,keep,43
31263.0,keep,43
31325.0,keep,43
31064.0,keep,43
31625.0,keep,42
31133.0,keep,42
31209.0,keep,42
31122.0,keep,41
31519.0,keep,41
31298.0,keep,41
31332.0,keep,41
31131.0,keep,41
31231.0,keep,41
31118.0,keep,40
31238.0,keep,40
31650.0,keep,40
31264.0,keep,40
31509.0,keep,40
31640.0,keep,1
31244.0,keep,40
31130.0,keep,40
31540.0,keep,39
31109.0,keep,39
31517.0,keep,39
31297.0,keep,38
31633.0,keep,38
31115.0,keep,38
31947.0,keep,38
31622.0,keep,37
31293.0,keep,37
31636.0,keep,37
31283.0,keep,1
31216.0,keep,37
31276.0,keep,36
31620.0,keep,36
31226.0,keep,36
31256.0,keep,36
31227.0,keep,35
31652.0,keep,35
31224.0,keep,35
31110.0,keep,35
31239.0,keep,35
31274.0,keep,1
31642.0,keep,35
31242.0,keep,35
31605.0,keep,35
31634.0,keep,34
31670.0,keep,34
31250.0,keep,34
31136.0,keep,34
31270.0,keep,34
31657.0,keep,34
31111.0,keep,34
31268.0,keep,33
31217.0,keep,33
31235.0,keep,33
31677.0,keep,33
31127.0,keep,33
31674.0,keep,32
31208.0,keep,32
31978.0,keep,32
31527.0,keep,32
31661.0,keep,32
31400.0,keep,31
31668.0,keep,31
31292.0,keep,31
31606.0,keep,31
31279.0,keep,31
31062.0,keep,1
31518.0,keep,31
31123.0,keep,30
31220.0,keep,30
31672.0,keep,30
31287.0,keep,30
31638.0,keep,30
31262.0,keep,30
31260.0,keep,29
31302.0,keep,29
31211.0,keep,29
31314.0,keep,29
31632.0,keep,1
31253.0,keep,29
31254.0,keep,28
31404.0,keep,28
31306.0,keep,28
31307.0,keep,28
31649.0,keep,28
31647.0,keep,28
31645.0,keep,28
31663.0,keep,28
31335.0,keep,28
31112.0,keep,27
31255.0,keep,27
31022.0,keep,27
31524.0,keep,26
31002.0,keep,26
31669.0,keep,26
31252.0,keep,26
31680.0,keep,26
31204.0,keep,25
31014.0,keep,25
31106.0,keep,25
31675.0,keep,25
31630.0,keep,25
31667.0,keep,25
31071.0,keep,24
33200.0,keep,24
31337.0,keep,24
32226.0,keep,24
32301.0,keep,24
31629.0,keep,24
31303.0,keep,24
31338.0,keep,24
31534.0,keep,24
31626.0,keep,24
31515.0,keep,24
31077.0,keep,24
31522.0,keep,24
31660.0,keep,23
31007.0,keep,23
31635.0,keep,23
31408.0,keep,23
31105.0,keep,23
31637.0,keep,23
31294.0,keep,23
31523.0,keep,22
31514.0,keep,22
31339.0,keep,22
31656.0,keep,22
31284.0,keep,22
31644.0,keep,22
31601.0,keep,22
31426.0,keep,22
31429.0,keep,22
31089.0,keep,22
31137.0,keep,22
31529.0,keep,22
31659.0,keep,21
31005.0,keep,21
31917.0,keep,21
31024.0,keep,21
31678.0,keep,21
31520.0,keep,21
31037.0,keep,21
31608.0,keep,21
31207.0,keep,21
31421.0,keep,21
31512.0,keep,21
31664.0,keep,21
31621.0,keep,20
31320.0,keep,20
31301.0,keep,20
31725.0,keep,20
31305.0,keep,20
31648.0,keep,20
31100.0,keep,20
31016.0,keep,1
31003.0,keep,20
31969.0,keep,20
31006.0,keep,19
31712.0,keep,19
31300.0,keep,19
31500.0,keep,19
31904.0,keep,19
31417.0,keep,19
31027.0,keep,19
31393.0,keep,19
31000.0,keep,18
31039.0,keep,18
31939.0,keep,18
31011.0,keep,18
31304.0,keep,18
31676.0,keep,18
31326.0,keep,18
31030.0,keep,18
31206.0,keep,17
31080.0,keep,17
31041.0,keep,17
31507.0,keep,17
31139.0,keep,1
31259.0,keep,17
31673.0,keep,17
31406.0,keep,17
31516.0,keep,17
31261.0,keep,17
31034.0,keep,16
31929.0,keep,16
31607.0,keep,16
31511.0,keep,16
31017.0,keep,16
31418.0,keep,16
31025.0,keep,16
31541.0,keep,16
31138.0,keep,16
31950.0,keep,15
31525.0,keep,15
32423.0,keep,15
31310.0,keep,15
31031.0,keep,15
31508.0,keep,15
31827.0,keep,15
31392.0,keep,15
31318.0,keep,15
31727.0,keep,15
31658.0,keep,15
31019.0,keep,14
32002.0,keep,14
31015.0,keep,14
31042.0,keep,14
31968.0,keep,14
31407.0,keep,14
31098.0,keep,14
31504.0,keep,14
31340.0,keep,14
31049.0,keep,14
31979.0,keep,14
31333.0,keep,14
31910.0,keep,14
31029.0,keep,13
31425.0,keep,13
31654.0,keep,13
31918.0,keep,13
32048.0,keep,13
31023.0,keep,13
31009.0,keep,13
31091.0,keep,13
31391.0,keep,13
31394.0,keep,13
31926.0,keep,13
31513.0,keep,13
32418.0,keep,13
31665.0,keep,13
31617.0,keep,13
31020.0,keep,12
32046.0,keep,12
31931.0,keep,12
